timestep,timestamp,line_001_002_p_a_kw,line_001_002_q_a_kvar,line_001_002_current_a_a,line_001_002_loss_a_kw,line_001_002_p_b_kw,line_001_002_q_b_kvar,line_001_002_current_b_a,line_001_002_loss_b_kw,line_001_002_p_c_kw,line_001_002_q_c_kvar,line_001_002_current_c_a,line_001_002_loss_c_kw,line_001_002_loss_total_kw,line_002_003_p_a_kw,line_002_003_q_a_kvar,line_002_003_current_a_a,line_002_003_loss_a_kw,line_002_003_p_b_kw,line_002_003_q_b_kvar,line_002_003_current_b_a,line_002_003_loss_b_kw,line_002_003_p_c_kw,line_002_003_q_c_kvar,line_002_003_current_c_a,line_002_003_loss_c_kw,line_002_003_loss_total_kw,line_002_005_p_a_kw,line_002_005_q_a_kvar,line_002_005_current_a_a,line_002_005_loss_a_kw,line_002_005_p_b_kw,line_002_005_q_b_kvar,line_002_005_current_b_a,line_002_005_loss_b_kw,line_002_005_p_c_kw,line_002_005_q_c_kvar,line_002_005_current_c_a,line_002_005_loss_c_kw,line_002_005_loss_total_kw,line_003_004_p_a_kw,line_003_004_q_a_kvar,line_003_004_current_a_a,line_003_004_loss_a_kw,line_003_004_p_b_kw,line_003_004_q_b_kvar,line_003_004_current_b_a,line_003_004_loss_b_kw,line_003_004_p_c_kw,line_003_004_q_c_kvar,line_003_004_current_c_a,line_003_004_loss_c_kw,line_003_004_loss_total_kw
0,2026-01-01 00:00:00,94.73650541256806,33.94217767148032,15.845647693133468,0.254083958487513,101.13063233231286,36.20813184932903,16.91380697279165,0.2949537598564689,96.49348324493872,34.808456563517076,16.152133874130158,0.2493519330302547,0.7983896513742366,27.437334047259597,11.364896655910986,4.69506480884758,0.028315344285900323,50.82864940117873,19.171164518108835,8.591593861809613,0.19340274304306604,53.22261798894718,20.130714308807555,8.995935412487,0.14530405043912964,0.367022137768096,27.045087406861946,8.92644436281706,4.502536032988724,0.04508740690878099,15.007029171325454,4.940994686360827,2.4987703551044276,0.007029171350687591,18.02151332299503,5.927856451125055,2.999264223022182,0.0215133230292075,0.07362990128867608,7.409018703000057,4.7436916470639785,1.3928880712175653,-0.0014081999680888302,14.635246658250871,7.122931349507837,2.5864107423617626,0.024819755333940208,29.077313938584094,11.952141190939535,4.990983964328177,0.06688703573575339,0.09029859110160476
1,2026-01-01 01:00:00,91.56821338767944,30.566960293791148,15.20037795687157,0.23336803387083194,97.34062842195071,32.62261228586546,16.165031722623045,0.26914761120536923,93.1764798399684,31.369624724806297,15.480654216702359,0.22976792191578,0.7322835669919812,30.99837149383872,10.260009145104348,5.160844223600116,0.036247963964846974,52.06579239866658,17.294668991920997,8.67440871785893,0.1917755779296897,54.229304785472564,18.162922564470133,9.039206735979839,0.15006039224044088,0.37808393413497754,24.33647385981978,8.014707082833745,4.049723430619177,0.0364738596328138,13.505688411923176,4.4379416673952505,2.2477194189152847,0.005688411841935803,16.217407132489434,5.324449011241495,2.6978629264191842,0.017407132381158874,0.059569403855908476,12.962123529831082,4.273632423881187,2.1607589127782507,0.0021235298641641975,19.47401682043629,6.413079071382786,3.2565478820228986,0.034016820273496506,32.47924439308438,10.765808940770468,5.430310673715257,0.0792443928439468,0.1153847429816075
2,2026-01-01 02:00:00,99.33872757831985,29.076249485555383,16.298058811317723,0.2674546861995566,104.84876330775148,31.046718761607277,17.217972000997136,0.3046869037364246,100.92888658361515,29.914966768197292,16.575556072158015,0.26493556157335263,0.8370771515093338,42.088707296909405,9.790687659135655,6.830741601867086,0.06991189405302123,62.038996550057426,16.4702264455094,10.149822583997816,0.25103813750558146,64.09840725382514,17.334087083779185,10.496324329476723,0.20853217713605687,0.5294822086946596,22.982565595224422,7.604381445406333,3.8266337550650555,0.032565595229986144,12.755079853969425,4.211556104495081,2.124015968036591,0.005079853976672766,15.315543768235349,5.052902676989824,2.5493630759390906,0.015543768245647627,0.053189217452306536,25.018795402880226,4.071832975918096,4.015660990180714,0.02253663730009947,31.187958412607518,6.094194407794636,5.049941210902233,0.07169964705026999,43.48987507673336,10.236584373368226,7.094496750082459,0.1336163112496962,0.22785259560006565
3,2026-01-01 03:00:00,96.55851536180161,28.196244787486762,15.838995013347231,0.25262539148035046,101.90010343055368,30.093403141012324,16.73017069148056,0.2876447514718734,98.09593000545375,28.992870818053067,16.106616402836202,0.250154295969395,0.7904244389216188,41.000224408438946,9.48720644655752,6.651546844938672,0.0663662629994235,60.35767480336704,15.956079593473373,9.87079174573682,0.2373069820057836,62.35613813373313,16.793615866436514,10.207006085211685,0.19724572467235646,0.5009189696775636,22.305665561815427,7.376792236572698,3.713333577973283,0.030665561751277437,12.379783875639987,4.08588237180378,2.0611797300679973,0.004783875602777599,14.864637575701067,4.902150596741929,2.473927102565295,0.014637575651414991,0.05008701300547003,24.43385814538941,3.9494136491976537,3.9204173298507308,0.021577929959402553,30.420367821183756,5.911090296618352,4.923337755161927,0.06808760559466975,42.35889240894379,9.926744845652959,6.9067364206365776,0.1266121932078974,0.2162777287619697
4,2026-01-01 04:00:00,89.01640230896174,29.74035040458189,14.778034002553168,0.2206442914954323,94.62291474271159,31.704460921639047,15.713342887893631,0.25428198956065273,90.57513255892039,30.48986068027325,15.048258109324088,0.2170820215594489,0.6920083026155339,30.136257502044227,9.960866406673338,5.016109730843225,0.03424917354977097,50.613251703438465,16.786366645861563,8.430147104567766,0.1811196800797532,52.716584457396905,17.630559041789564,8.784836491737684,0.14173562925537198,0.35710448288489616,23.65950051541245,7.832018052074869,3.9386592026081364,0.0345005154086131,13.130381049691882,4.3372419608160335,2.1861242711796316,0.005381049686981498,15.766466079959132,5.203667993160541,2.6239152664896266,0.016466079950461676,0.05634764504605627,12.602008328472555,4.152879340731169,2.1003131082591815,0.0020083284435798987,18.932132023315145,6.23180149709746,3.165010627735601,0.03213202326867304,31.574848828101285,10.459385839026359,5.277591907655648,0.07484882799640857,0.10898917970866151
5,2026-01-01 05:00:00,106.89008896894688,35.76161199347523,17.747809092230117,0.31808333290486246,113.66314304086696,38.17765011064911,18.879900800293388,0.3671761730148404,108.80037348708531,36.74285322379312,18.082153112182866,0.31351200918125244,0.9987715151009553,36.17223947152401,11.96226666266926,6.025549253910698,0.04936123349867927,60.788209538507004,20.187077785654875,10.134415116032887,0.2617660369151906,63.31311779147107,21.23014080188321,10.561340538859547,0.20488259242131335,0.5160098628351832,28.39976616458181,9.382819887809351,4.730365421814061,0.04976616465560113,15.757757329424377,5.192652853219469,2.6250790952033634,0.007757329462082296,18.92374368649233,6.229707274774842,3.1509187372136003,0.023743686547671672,0.0812671806653551,15.122878238070188,4.978593880763635,2.522879861502026,0.0028782381044702987,22.726443501783407,7.471499733221426,3.8053974362383443,0.04644350193028046,37.90823519917846,12.558170368824422,6.346094253300602,0.10823519945995486,0.15755693949470562
6,2026-01-01 06:00:00,136.77776921623837,47.11640574316696,22.77891251980491,0.5238106081852152,145.7655757019376,50.417592187052016,24.286276433745336,0.6080588965693892,139.38331878833515,48.603709898639515,23.24325024516543,0.5177169198113347,1.649586424565939,47.389700619410874,15.72615976945495,7.907101507011635,0.08480743646359912,79.73233447743583,26.60464064540797,13.318192609666726,0.45208393547801506,83.0412312855625,28.060743589166204,13.881361015470219,0.35404686169017907,0.8909382336317933,33.86425798870328,12.295108072752825,5.705294798446085,0.07259132209166808,17.30018232800695,6.796670178414007,2.9451403701392147,0.008515661370882555,21.449370583024773,8.155371640761407,3.634076035416457,0.03270391640176129,0.11381089986431192,19.80489318298447,6.5320570559187665,3.310842384490568,0.004893183012068647,29.78025054215461,9.804389007214345,5.002871934243327,0.08025054230235185,49.68718442400947,16.523520750016537,8.344830298714461,0.18718442431075744,0.27232814962517793
7,2026-01-01 07:00:00,163.25380355433177,60.148007343990145,27.394992829454143,0.758044055330231,174.86373703722728,64.51606034351295,29.348144762153307,0.889287247252696,166.7137276016539,62.32535791622481,28.025040696466636,0.750895244652213,2.39822654723514,58.500483001441545,20.043764340689066,9.805572862330887,0.1289816120591638,99.80462674745502,34.00503133796391,16.731059339521142,0.7161547512701958,104.01525552629882,35.999259923398746,17.454203284150985,0.5583515429057258,1.4034879062350853,33.9952764976292,15.637799641079013,5.933470063762601,0.07860983101089403,12.919823042642056,8.63788176992178,2.4661162680956696,0.003156375996386629,18.197576830801996,10.369491598516854,3.3213081700133014,0.030910164176081167,0.11267637118336182,23.371501389429287,8.32455528666814,3.946300177185601,0.004834722788153556,36.088471996489886,12.499887419091008,6.114611623670687,0.12180533004170258,61.456903983610204,21.12626246309309,10.387917666416353,0.29023731742267955,0.4168773702525357
8,2026-01-01 08:00:00,155.26214029330058,66.65580407110427,26.605160947552516,0.718122291601162,168.19643632237262,71.53988641380815,28.780156963909512,0.8574648308699011,159.06861883268488,69.04678447007846,27.304655829942686,0.7073692686739719,2.282956391145035,53.850096707048536,22.239444684477945,9.239506654477339,0.10895509084013355,99.83555678150293,37.794078731838745,16.94268069261458,0.7516328198834827,104.49475847723905,39.962002803634284,17.742993846709272,0.5660275988120418,1.426615509535658,22.69392129463957,17.397657991294455,4.5348261968483,0.04392129467086292,-0.7465852898646842,9.62467797849396,1.5321586365909146,0.003414710208052618,5.1164910868436015,11.559020016865082,2.0047772487444604,0.01649108691532586,0.0638270917942414,14.741141616127688,9.235010324449698,2.7666396483427365,-0.005525050571748125,28.88392396198068,13.880878214998981,5.134029189980823,0.09725729548347672,57.1287308785696,23.44949104541029,9.875731749665414,0.2620642121307952,0.3537964570425238
9,2026-01-01 09:00:00,119.73341643671698,61.048401735853965,21.162299844226634,0.45730588459250043,131.65121660426834,65.51537793543567,23.154694067092926,0.5563611671875606,123.22335828923741,63.20047109585998,21.805846271287393,0.44690328201204466,1.4605703337921057,48.670762030421194,20.500939745809546,8.365627038862403,0.08900874725053143,91.05208397273277,34.7943702063477,15.451566282456632,0.6266728132198551,95.35149303504994,36.754436555754154,16.18806469883464,0.47008733902576694,1.1857688994961535,-1.3946514784804325,15.998339137836739,2.5437993538256696,0.005348521625726965,-22.95722853586724,8.905425430927423,3.9034023785053265,0.04277146433321022,-17.575038027983243,10.6898721745636,3.2586404567738394,0.02496197220531471,0.07308195816425189,12.581753283050363,8.530328822049828,2.414199042365269,-0.004913383635543056,25.625411159023695,12.820127775433349,4.581178641721256,0.07874449214017076,51.68140569567617,21.628922708173995,8.942583942619276,0.214739028437819,0.2885701369424467
